Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
4	3	70.4393	-18.755	-468.96	118288	-32593.1	26060.6	630.499	-252.234	0	65.3649	5.07439	-15.3489	34.1039	163.474	299.962	5.24499	0.280006	-64.9118	-4.76786	-480.408	121069	41760.2	-21687.5	86.9267	-252.014	0	-56.133	-8.77877	24.7064	-19.9386	340.784	132.621	14.49	-7.48788	5.52751	-23.5229	-949.368	239357	337439	-8755.45	355.436	-252.123	0
4	4	70.674	-18.5388	-470.293	118526	-32692.2	26234	630.485	-252.027	0	65.6153	5.05871	-15.7051	34.244	163.798	300.745	5.34125	0.408517	-65.0365	-4.76872	-482.584	121213	41977	-21732.4	86.984	-251.177	0	-56.3824	-8.65415	24.5821	-19.8134	341.695	133.075	14.62	-6.80638	5.63746	-23.3076	-952.876	239739	338490	-8475.59	355.229	-251.595	0
4	5	70.7837	-17.933	-471.431	118644	-32554.3	26220.1	630.946	-251.668	0	65.725	5.05871	-15.9069	33.84	164.382	300.909	5.40701	0.733335	-65.1765	-4.57948	-483.037	121558	42010.2	-21859.4	86.971	-251.655	0	-56.4444	-8.73206	24.7998	-20.2203	342.441	133.204	14.6524	-7.26132	5.60723	-22.5125	-954.468	240202	339458	-8192.48	355.651	-251.661	0
4	6	70.9865	-17.9163	-473.059	118831	-32658.7	26250.1	630.963	-251.197	0	65.8656	5.12084	-15.9382	33.8545	164.772	301.691	5.66762	0.928472	-65.3321	-4.59664	-483.525	121633	42009.9	-21801.8	86.8826	-251.556	0	-56.5691	-8.76299	24.6131	-20.0164	342.831	133.204	14.9123	-7.42269	5.65443	-22.513	-956.583	240464	340492	-8093.1	355.946	-251.378	0
4	7	71.345	-17.9477	-473.681	119007	-32817.4	26244.8	630.719	-251.24	0	66.0221	5.3229	-15.9382	33.8859	164.837	302.279	5.7334	0.831528	-65.4256	-4.48663	-483.783	121942	42150.4	-21907.7	87.1266	-252.059	0	-56.7248	-8.70084	24.6755	-20.1889	343.286	133.463	14.4571	-7.42269	5.91935	-22.4344	-957.465	240949	340910	-8226.31	356.055	-251.654	0
4	8	71.2369	-17.5134	-474.916	119160	-32813.9	26243.6	630.906	-250.909	0	65.9911	5.24571	-16.1238	33.6371	165.355	302.638	5.99399	0.928462	-65.5027	-4.08069	-484.205	122000	42105.8	-21852.6	86.9587	-251.96	0	-56.5688	-8.93395	24.5822	-20.5015	343.383	133.657	14.5876	-7.42269	5.73411	-21.594	-959.121	241161	341733	-7868.36	356.298	-251.439	0
4	9	71.377	-17.3412	-475.862	119835	-32895.3	26253.9	630.872	-251.828	0	66.1627	5.21433	-16.1088	33.45	166.004	303.747	5.53863	0.572205	-65.7674	-4.05001	-485.861	122061	42260.1	-21882.7	86.9797	-251.226	0	-56.7716	-8.99583	24.5512	-20.5012	344.163	133.819	14.9123	-7.03362	5.60963	-21.3912	-961.722	241896	342468	-7767.62	356.098	-251.524	0
5	0	71.5492	-17.202	-475.769	119666	-33141.2	26340.8	630.342	-251.52	0	66.3349	5.21433	-16.2788	33.4807	165.487	303.879	5.92815	0.473963	-65.8914	-3.94045	-486.12	122454	42279.1	-21873.3	86.9724	-251.9	0	-56.7713	-9.12011	24.5512	-20.6108	344.878	133.981	14.8471	-7.58517	5.65779	-21.1424	-961.889	242119	342176	-7573.87	355.733	-251.712	0
5	1	71.8296	-16.6743	-477.78	120210	-32990.8	26303.6	630.949	-251.602	0	66.4289	5.40069	-16.5112	33.1855	166.489	304.889	5.53867	0.862932	-66.0313	-3.65988	-487.516	122659	42414.6	-21868	87.0014	-251.6	0	-56.8181	-9.21319	24.4269	-20.7671	345.657	134.272	14.9446	-7.35761	5.79823	-20.3342	-965.296	242869	343870	-7236.38	356.232	-251.601	0
5	2	72.0794	-16.5495	-477.657	120133	-33082.2	26357.3	630.741	-251.504	0	66.5695	5.50988	-16.6818	33.2313	166.266	304.892	5.66756	0.831553	-66.1246	-3.2858	-488.521	123003	42425.6	-21897.6	86.8452	-251.787	0	-56.896	-9.22867	24.2717	-20.9859	346.209	134.855	14.8471	-7.39038	5.95474	-19.8353	-966.177	243136	343703	-7124.97	355.735	-251.647	0
