Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
4	3	121.291	-1.15658	-936.671	195534	-60285.1	30367.1	635.639	-208.755	0	103.221	18.0703	-19.012	20.1686	299.677	544.777	55.2543	36.9626	-178.264	-27.7222	-1037.32	244729	61816.2	-44020.1	59.5922	-235.924	0	-141.268	-36.9961	54.1219	-26.3997	661.28	330.2	58.6811	-12.8396	-56.9724	-28.8788	-1973.99	440264	657201	-14462.6	332.93	-223.032	0
4	4	121.343	-1.06977	-936.223	195628	-60343.9	30320	635.545	-208.955	0	103.177	18.1656	-19.0295	20.0992	299.462	544.941	55.0006	36.819	-178.248	-27.4456	-1038.3	244526	61778.3	-44054.4	59.4996	-235.507	0	-141.389	-36.859	53.9052	-26.4595	661.337	330.219	59.2398	-12.4967	-56.9051	-28.5154	-1974.52	440154	656790	-14483.2	332.633	-222.917	0
4	5	121.239	-1.05278	-936.185	195609	-60499.1	30314.6	635.377	-208.943	0	103.108	18.131	-19.0465	20.0992	299.533	544.814	55.489	36.3497	-178.49	-27.2652	-1038.02	244426	61837.1	-43947.9	59.5724	-235.473	0	-141.371	-37.1191	53.7338	-26.4687	661.189	330.019	59.1828	-12.3726	-57.2507	-28.318	-1974.2	440035	656668	-14370.3	332.624	-222.892	0
4	6	121.013	-0.983549	-936.55	195424	-60581.3	30274.7	635.314	-208.663	0	102.925	18.0878	-19.0725	20.056	299.462	544.706	55.9976	36.3852	-178.323	-27.101	-1036.87	244330	61921.2	-43939.7	59.7194	-235.642	0	-141.345	-36.9781	53.5605	-26.4595	660.902	329.534	58.8772	-12.4442	-57.3103	-28.0845	-1973.42	439753	656925	-14353.5	332.887	-222.838	0
4	7	120.944	-0.767805	-936.982	195329	-60502.8	30251	635.428	-208.466	0	102.891	18.0532	-19.1239	19.8917	299.443	544.741	55.9976	36.8001	-178.127	-26.9114	-1036.49	244323	61840.2	-43950.2	59.663	-235.722	0	-141.336	-36.7905	53.3801	-26.4687	660.63	329.59	58.8055	-12.5346	-57.1831	-27.6792	-1973.47	439652	657225	-14236.6	333.029	-222.781	0
4	8	121.203	-0.59449	-937.652	195397	-60547.7	30180.7	635.426	-208.39	0	102.934	18.269	-19.15	19.7445	299.57	545.068	56.0882	36.927	-178.378	-26.8432	-1036.51	244180	61726	-43898.3	59.5518	-235.579	0	-141.432	-36.9457	53.2591	-26.4159	660.324	329.624	59.0773	-12.5157	-57.1751	-27.4377	-1974.16	439577	657535	-14133.7	333.07	-222.665	0
4	9	121.022	-0.464506	-937.546	195140	-60692.1	30073.4	635.265	-208.139	0	102.752	18.2696	-19.0725	19.537	299.137	544.941	56.5229	36.9448	-178.333	-26.4095	-1036.22	243973	61708.8	-43808.2	59.5519	-235.445	0	-141.362	-36.9709	52.8873	-26.4777	660.071	329.3	59.2924	-12.4442	-57.3111	-26.874	-1973.77	439113	657299	-14060	333.018	-222.475	0
5	0	120.752	-0.231322	-938.214	195088	-60685.4	30066.1	635.318	-207.936	0	102.621	18.131	-19.1669	19.3982	299.028	545.266	56.5421	37.3774	-178.118	-26.1098	-1035.57	243723	61737.7	-43781.7	59.6171	-235.351	0	-141.311	-36.8067	52.6039	-26.4941	659.565	328.977	59.2018	-12.1729	-57.3656	-26.3412	-1973.78	438811	657802	-13877.5	333.269	-222.32	0
5	1	120.613	-0.170951	-938.235	195058	-60690.9	30015.9	635.314	-207.899	0	102.396	18.2173	-19.2705	19.4414	298.903	545.341	56.505	37.4866	-178.17	-25.8411	-1035.1	243632	61617.7	-43759.2	59.5281	-235.37	0	-141.423	-36.7471	52.3097	-26.4686	659.097	329.014	59.2207	-12.2294	-57.5574	-26.012	-1973.34	438690	657692	-13863	333.289	-222.309	0
5	2	120.516	0.0530458	-937.73	194889	-60846	29898.8	635.113	-207.83	0	102.143	18.3729	-19.3564	19.3033	298.506	545.14	56.8314	37.2519	-178.196	-25.7307	-1034.33	243320	61441	-43761.9	59.402	-235.245	0	-141.458	-36.7381	52.2339	-26.5032	658.409	328.706	59.5642	-12.3538	-57.6795	-25.6777	-1972.06	438209	657006	-13825.9	333.158	-222.209	0
